ut5english.txt
('English', 0.895338070808544)
('Croatian', 0.5078213878847098)
('Spanish', 0.4984481396019418)
('French', 0.47853761262053535)
('Romanian', 0.46415881822126476)
('German', 0.4338366465782664)
('Dutch', 0.3837609930291305)
ut4german.txt
('German', 0.8321436890011822)
('Dutch', 0.7381286211923407)
('English', 0.5090138766839252)
('French', 0.47268260093301556)
('Spanish', 0.455786294490432)
('Romanian', 0.4206904736784939)
('Croatian', 0.3819194350194505)
ut3dutch.txt
('Dutch', 0.8507431982733314)
('German', 0.8022920273339152)
('English', 0.5194361787631683)
('Spanish', 0.5089827298782074)
('French', 0.45505120068070665)
('Romanian', 0.4338289663603097)
('Croatian', 0.3696794822413862)
ut1spanish.txt
('Spanish', 0.7589645052521993)
('French', 0.6106175842272761)
('English', 0.5775476056872816)
('Romanian', 0.5737201157297008)
('Croatian', 0.5469336182583083)
('German', 0.4566648215836175)
('Dutch', 0.4266798459450228)
